Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,"Fremstilling og bearbejdning af andet glas, herunder teknisk glas",Fremstilling af andre keramiske produkter,"Fremstilling af flasker, drikkeglas mv.",Fremstilling af keramiske husholdningsartikler og pyntegenstande,Fremstilling af byggematerialer af beton,Fremstilling af cement,Fremstilling af færdigblandet beton,Fremstilling af glasfiber,Fremstilling af keramiske teglsten og gulvfliser,"Fremstilling af andre produkter af beton, cement og gips",Fremstilling af asfalt og tagpap,"Fremstilling af mursten, teglsten og byggematerialer af brændt ler",Fremstilling af byggematerialer af gips,Fremstilling af keramiske isolatorer og isoleringsdele,Formning og forarbejdning af planglas,Fremstilling af ildfaste produkter,"Fremstilling af andre ikke-metalholdige mineralske produkter, bortset fra asfalt og tagpap",Fremstilling af keramiske sanitetsartikler,Fremstilling af kalk og gips,"Tilhugning, tilskæring og færdigbearbejdning af sten",Fremstilling af mørtel,Fremstilling af planglas,Fremstilling af slibemidler,Fremstilling af andre keramiske produkter til teknisk brug,Fremstilling af fibercement
EYEMAGINE ApS,"Huulmøllevej 2 A st, 9240 Nibe",Aalborg,01.12.2008,Ikke oplyst,Ikke oplyst,Anpartsselskab,31872898,125.0,734000.0,DKK,2023.0,0,0,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Næsehornet ApS,"Næstvedvej 294, 4100 Ringsted",Ringsted,28.09.2015,Ikke oplyst,Ikke oplyst,Anpartsselskab,37115355,40.0,-16000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DG BETON ApS,"Attenagrevej 13, 6950 Ringkøbing",Ringkøbing-Skjern,15.01.2001,1.0,Mikro,Anpartsselskab,25844084,125.0,812000.0,DKK,2024.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GourmetTing.dk ApS,"Lemvej 54, 8930 Randers NØ",Randers,01.07.2020,1.0,Mikro,Anpartsselskab,41489472,40.0,-201000.0,DKK,2024.0,0,0,23,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORANJE BETON A/S,"Frøjkvej 27, 7500 Holstebro",Holstebro,24.02.2009,20.0,Lille,Aktieselskab,29817979,500.0,16141000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZOOPLY ApS,"Pramvej 7, 8940 Randers SV",Randers,01.07.2016,1.0,Mikro,Anpartsselskab,37842311,50.0,457000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARDEN BETON ApS,"Ringvejen 26, 9510 Arden",Mariagerfjord,01.07.1987,Ikke oplyst,Ikke oplyst,Anpartsselskab,11798683,125.0,-111000.0,DKK,2023.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI Produktion Danmark ApS,"Kystvejen 56, 9400 Nørresundby",Aalborg,01.11.2007,82.0,Mellemstor,Anpartsselskab,31048257,125.0,36379000.0,DKK,2023.0,1,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJØRN WIINBLADS VÆRKSTED A/S,"Bjørn Wiinblads Vej 5, 2800 Kongens Lyngby",Lyngby-Taarbæk,26.02.1966,Ikke oplyst,Ikke oplyst,Aktieselskab,57023910,600.0,518000.0,DKK,2023.0,0,0,23,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BS Falsen ApS,"Malskærvej 3, 8300 Odder",Odder,23.04.2017,12.0,Lille,Anpartsselskab,38602349,250.0,5917000.0,DKK,2024.0,0,0,23,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
