Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Bygning af både til fritid og sport,Fremstilling af civile luft- og rumfartøjer o.lign.,Bygning af militærfartøjer,Fremstilling af cykler og kørestole,Fremstilling af andre transportmidler i.a.n.,Fremstilling af motorcykler,Fremstilling af lokomotiver og andet rullende materiel til jernbaner og sporveje,Bygning af civile skibe og flydende materiel,Fremstilling af militære kampkøretøjer,Fremstilling af militære luft- og rumfartøjer o.lign.
BENAIR A/S,"Fabriksvej 2, 7280 Sønder Felding",Herning,01.04.1989,9.0,Mikro,Aktieselskab,12966377,2.0,4420000.0,DKK,2023.0,0,0,30,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FarmSportATV ApS,"Lillegade 15, 4244 Agersø",Slagelse,22.05.2008,Ikke oplyst,Ikke oplyst,Anpartsselskab,31469139,125.0,-212000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BY CONNIEHANSEN 2015 ApS,"Byåsen 18, 3660 Stenløse",Egedal,01.01.2015,6.0,Mikro,Anpartsselskab,36487305,50.0,2038000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
P V SYSTEM ApS,"Ved Gadekæret 1, 3550 Slangerup",Frederikssund,01.01.1992,Ikke oplyst,Ikke oplyst,Anpartsselskab,15951842,200.0,1000.0,DKK,2024.0,0,0,30,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cykelfabrikanten ApS,"Kællingbjerg 5, 5592 Ejby",Middelfart,29.03.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,43955055,40.0,-72000.0,DKK,2024.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Vision Boat ApS,"Fåborgvej 104, 5762 Vester Skerninge",Svendborg,13.02.2017,1.0,Mikro,Anpartsselskab,38412493,50.0,189000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HC 2023 ApS,"Strandvejen 433 2 th, 2930 Klampenborg",Lyngby-Taarbæk,23.10.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39964333,83.0,-924000.0,DKK,2023.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SENEBERG SHOCKS ApS,"Grønholtvej 16, 3480 Fredensborg",Fredensborg,07.11.2009,13.0,Lille,Anpartsselskab,32562639,250.0,6774000.0,DKK,2023.0,1,0,30,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mbodji & Laursen Boat Building ApS,"Gl Vallerødvej 29, 2960 Rungsted Kyst",Hørsholm,25.06.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39679841,51.0,-28000.0,DKK,2024.0,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nosira ApS,"Gundslevmagle Skovvej 3, 4863 Eskilstrup",Guldborgsund,13.10.2022,2.0,Mikro,Anpartsselskab,43576887,40.0,-142000.0,DKK,2024.0,0,0,30,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
