Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af råjern og råstål samt jernlegeringer,Fremstilling af stålbånd ved koldvalsning,Støbning af jernprodukter,Støbning af letmetalprodukter,"Fremstilling af rør, hule profiler og tilhørende fittings af stål",Støbning af stålprodukter,Fremstilling af aluminium,"Fremstilling af bly, zink og tin",Støbning af andre ikke-jernholdige metalprodukter,Fremstilling af ædelmetaller,Koldbehandling,Fremstilling af kobber,Fremstilling af tråd ved koldtrækning,Fremstilling af stænger ved koldtrækning
LMH Engineering Ltd ApS,"Bredgade 20 A 2 tv, 1260 København K",København,01.07.2017,9.0,Mikro,Anpartsselskab,38790064,50.0,1781000.0,DKK,2023.0,0,0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TÅSINGE KOKILLESTØBERI A/S,"Bjerrebyvej 32, 5700 Svendborg",Svendborg,01.02.1992,5.0,Mikro,Aktieselskab,15735279,500.0,2572000.0,DKK,2024.0,0,0,24,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pipetek Innovation ApS,"Gammelgårdevej 40, 6855 Outrup",Varde,19.08.2003,Ikke oplyst,Ikke oplyst,Anpartsselskab,27335292,188.0,-13000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flemming R. Nielsen ApS,"Valhøjs Alle 165, 2610 Rødovre",Rødovre,27.04.2012,Ikke oplyst,Ikke oplyst,Anpartsselskab,34484325,80.0,-353000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUTROCKETSCIENCE ApS,"Classensvej 8 1 th, 3360 Liseleje",Halsnæs,18.11.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42840890,40.0,-3000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adapa flexibles Denmark Slagelse A/S,"Strudsbergsvej 3, 4200 Slagelse",Slagelse,04.08.1980,152.0,Mellemstor,Aktieselskab,61725318,125.0,108263000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROFILTEAM APS,"Fynsgade 10 A, 6400 Sønderborg",Sønderborg,10.11.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40933182,80.0,-8000.0,DKK,2023.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kibsgaard Specialproduktion ApS,"Nordmorsvej 36, 7950 Erslev",Morsø,02.10.2015,7.0,Mikro,Anpartsselskab,37134708,50.0,5936000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M. Darlie ApS,"Sønderskovvej 6, 2740 Skovlunde",Ballerup,09.12.1994,1.0,Mikro,Anpartsselskab,18219409,200.0,-8000.0,DKK,2024.0,0,0,24,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLMK DANSTEEL A/S,"Havnevej 33, 3300 Frederiksværk",Halsnæs,01.10.2002,546.0,Stor,Aktieselskab,10092922,92.937,568532000.0,DKK,2023.0,1,0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
