Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af computere og ydre enheder,"Fremstilling af udstyr til måling, afprøvning og navigation",Fremstilling af elektronik til husholdninger,Fremstilling af kommunikationsudstyr,Fremstilling af høreapparater og dele hertil,Fremstilling af ure,Fremstilling af bestrålingsudstyr og elektromedicinsk og elektroterapeutisk udstyr,Fremstilling af elektroniske komponenter,"Fremstilling af optiske instrumenter, magnetiske og optiske medier og fotografisk udstyr",Fremstilling af printplader o.lign.
Sindri ApS,"Ny Banegårdsgade 55 1, 8000 Aarhus C",Århus,04.12.2018,1.0,Mikro,Anpartsselskab,40066624,76,-364000.0,DKK,2023.0,0,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JM Marine Consulting A/S,"Blåkildevej 51, 9510 Arden",Mariagerfjord,15.05.2002,2.0,Mikro,Aktieselskab,26688353,501,-855000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mindst ApS,"Brovænget 16, 2830 Virum",Lyngby-Taarbæk,15.06.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42470368,40,36000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KC DENMARK A/S,"Holmbladsvej 19, 8600 Silkeborg",Silkeborg,14.06.2006,16.0,Lille,Aktieselskab,29619662,500,8782000.0,DKK,2024.0,1,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ULSTRUP PLAST A/S,"Vassingerødvej 97, 3540 Lynge",Allerød,23.06.2000,39.0,Lille,Aktieselskab,10030358,1.590,36507000.0,DKK,2023.0,1,1,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Auricle ApS,"Gammel Kongevej 11, 1610 København V",København,15.11.2018,1.0,Mikro,Anpartsselskab,40025391,53,51000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KREAFUNK ApS,"Klamsagervej 35 st, 8230 Åbyhøj",Århus,01.02.2012,6.0,Mikro,Anpartsselskab,34221545,196,6633000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLT2019 ApS,"Ordrupvej 98 D, 2920 Charlottenlund",Gentofte,01.10.2019,3.0,Mikro,Anpartsselskab,40840907,40,750000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SENSONIC ApS,"Storkevang 10, 3450 Allerød",Allerød,30.06.1999,1.0,Mikro,Anpartsselskab,24231607,125,1661000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNIMED ApS,"Stendiget 58, 2630 Taastrup",Høje-Taastrup,01.05.1990,Ikke oplyst,Ikke oplyst,Anpartsselskab,14209980,200,-36000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AUDIOCASE ApS,"Refshalevej 153 1, 1432 København K",København,22.01.2014,1.0,Mikro,Anpartsselskab,35646590,69,363000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akkodis Edge Denmark A/S,"Smedeholm 10, 2730 Herlev",Herlev,01.02.1999,8.0,Mikro,Aktieselskab,21511870,2.277,8408000.0,DKK,2023.0,0,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMART SYSTEMS APS,"Gevninge Bygade 20, 4000 Roskilde",Roskilde,04.07.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39706172,50,0.0,DKK,2023.0,0,0,26,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DAMCOS A/S,"Åderupvej 41, 4700 Næstved",Næstved,09.01.1965,194.0,Mellemstor,Aktieselskab,49698119,60.000,190277000.0,DKK,2023.0,1,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEICA GEOSYSTEMS TECHNOLOGY A/S,"Telehøjen 8, 5220 Odense SØ",Odense,26.06.1991,147.0,Mellemstor,Aktieselskab,15223332,2.000,211620000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vokalo ApS,"Stadion Allé 70, 8000 Aarhus C",Århus,28.05.2019,7.0,Mikro,Anpartsselskab,40549196,52,2092000.0,DKK,2024.0,0,0,26,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WEIBEL SCIENTIFIC A/S,"Solvang 30, 3450 Allerød",Allerød,25.01.1977,456.0,Stor,Aktieselskab,80609515,50.000,423937000.0,DKK,2024.0,1,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARDLAB INNOVATION ApS,"Hørkær 20 2, 2730 Herlev",Herlev,01.08.2012,6.0,Mikro,Anpartsselskab,34626189,10.800,-4025000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
HAUCH & BACH ApS,"Femstykket 6, 3540 Lynge",Allerød,01.04.1992,5.0,Mikro,Anpartsselskab,15707577,255,6393000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INTERACOUSTICS A/S,"Audiometer Alle 1, 5500 Middelfart",Middelfart,28.01.1991,213.0,Mellemstor,Aktieselskab,15015446,5.000,319946000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TELEDYNE RESON A/S,"Fabriksvangen 13, 3550 Slangerup",Frederikssund,20.02.1976,137.0,Mellemstor,Aktieselskab,56675817,109.796,112702000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLIMTECH ApS,"Kulsviertoften 37, 2800 Kgs. Lyngby",Lyngby-Taarbæk,17.06.2009,1.0,Mikro,Anpartsselskab,29820740,125,-58000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L Nørregaard Consulting ApS,"Danmarksvej 35, 2800 Kongens Lyngby",Lyngby-Taarbæk,09.10.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,38117858,40,9000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Watchstrips ApS,"Øresundsvej 104 2 tv, 2300 København S",København,06.06.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43309951,40,,nan,2023.0,0,0,26,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
JPC SOFT SYSTEMS ApS,"Rodelundvej 2, 8653 Them",Silkeborg,25.03.2009,Ikke oplyst,Ikke oplyst,Anpartsselskab,32085563,125,0.0,DKK,2024.0,0,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kombo Audio ApS,"Diplomvej 381, 2800 Kongens Lyngby",Lyngby-Taarbæk,01.08.2018,Ikke oplyst,Ikke oplyst,Anpartsselskab,39764059,70,-2102000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRYPHON AUDIO DESIGNS ApS,"Industrivej 10 B, 8680 Ry",Skanderborg,18.04.1979,19.0,Lille,Anpartsselskab,87296415,138,27361000.0,DKK,2024.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trentino Systems ApS,"Jyllandsgade 30 1, 6400 Sønderborg",Sønderborg,10.05.2018,1.0,Mikro,Anpartsselskab,39561239,50,212000.0,DKK,2024.0,0,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HegenbergerSpeculum ApS,"Peder Bodils Vej 27, 4700 Næstved",Næstved,29.09.2017,1.0,Mikro,Anpartsselskab,38984853,40,-488000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Natus Medical Denmark ApS,"Hørskætten 9, 2630 Taastrup",Høje-Taastrup,20.05.2000,62.0,Mellemstor,Anpartsselskab,25384687,24.000,111240000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SOCIAL SOUND Copenhagen ApS,"Markvangen 23, 2820 Gentofte",Gentofte,20.12.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42917532,40,,nan,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROLON CONTROL SYSTEMS ApS,"Herstedvang 8, 2620 Albertslund",Albertslund,23.10.1996,5.0,Mikro,Anpartsselskab,19643808,156,2294000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josomo Invest ApS,"Hunderupvej 22 1, 5000 Odense C",Odense,07.06.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43311174,40,,nan,2024.0,0,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrimTrack ApS,"Bolbro Villavej 8, 2960 Rungsted Kyst",Hørsholm,01.08.2017,Ikke oplyst,Ikke oplyst,Anpartsselskab,38839845,51,196000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JK E-SOLUTIONS ApS,"Røjklitvej 28, 6950 Ringkøbing",Ringkøbing-Skjern,02.03.2011,Ikke oplyst,Ikke oplyst,Anpartsselskab,33508689,80,167000.0,DKK,2024.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PROCES-DATA A/S,"Navervej 8, 8600 Silkeborg",Silkeborg,26.11.1993,48.0,Lille,Aktieselskab,17467042,1.000,26592000.0,DKK,2024.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAKKY INVEST ApS,"Dyreparken 9, 8382 Hinnerup",Favrskov,27.01.2006,Ikke oplyst,Ikke oplyst,Anpartsselskab,29316082,125,-3000.0,DKK,2023.0,0,0,26,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alea Quantum Technologies ApS,"Ole Maaløes Vej 3, 2200 København N",København,25.03.2022,10.0,Lille,Anpartsselskab,43152483,40,679000.0,DKK,2023.0,0,0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIAIAI ApS,"Amalievej 20, 1875 Frederiksberg C",Frederiksberg,17.05.2006,14.0,Lille,Anpartsselskab,29535566,1.604,6716000.0,DKK,2023.0,0,0,26,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MICRO TECHNIC A/S,"Smedevænget 5, 5560 Aarup",Assens,01.07.1977,67.0,Mellemstor,Aktieselskab,59647628,500,42046000.0,DKK,2023.0,0,0,26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
