Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af andet elektrisk udstyr,"Fremstilling af elektriske motorer, generatorer og transformatorer",Fremstilling af andre elektroniske og elektriske ledninger og kabler,Fremstilling af elektriske fordelings- og kontrolapparater,Fremstilling af belysningsartikler,Fremstilling af tilbehør til ledninger og kabler,Fremstilling af elektriske husholdningsapparater,Fremstilling af ikke-elektriske husholdningsapparater,Fremstilling af batterier og akkumulatorer,Fremstilling af lyslederkabler
BMN Elektronik ApS,"Industrivej 9 A, 4700 Næstved",Næstved,12.06.2017,5.0,Mikro,Anpartsselskab,38711342,50.0,1944000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELFAC A/S,"Priorsvej 23, 8600 Silkeborg",Silkeborg,21.12.1993,92.0,Mellemstor,Aktieselskab,17465031,1.0,50668000.0,DKK,2024.0,0,0,27,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BitProgress Development ApS,"Møllegærdet 32, 6000 Kolding",Kolding,18.02.2014,2.0,Mikro,Anpartsselskab,35665811,40.0,1034000.0,DKK,2024.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FLEX CABLES A/S,"A.C.Illums Vej 1, 8600 Silkeborg",Silkeborg,10.12.2004,14.0,Lille,Aktieselskab,28293623,500.0,7176000.0,DKK,2024.0,0,0,27,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unfolded Circle ApS,"Nordre Fasanvej 124 A 1 tv, 2000 Frederiksberg",Frederiksberg,10.08.2021,2.0,Mikro,Anpartsselskab,42589977,40.0,2061000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JACOBSSON & CO. ApS,"Skovvej 85 B, 2920 Charlottenlund",Gentofte,26.06.1978,Ikke oplyst,Ikke oplyst,Anpartsselskab,87621413,200.0,-5000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BatteryPark ApS,"Ladefogedvej 136, 8200 Aarhus N",Århus,10.05.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,44045877,40.0,-36000.0,DKK,2024.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VJ KABEL ApS,"Islandsvej 5, 7900 Nykøbing M",Morsø,01.07.1988,6.0,Mikro,Anpartsselskab,12267177,245.0,240000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Regumatic ApS,"Industriparken 14, 6933 Kibæk",Herning,20.06.2019,5.0,Mikro,Anpartsselskab,40631232,40.0,1617000.0,DKK,2024.0,0,0,27,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
VESTTHERM A/S,"Øresundsvej 10, 6715 Esbjerg N",Esbjerg,18.12.2003,33.0,Lille,Aktieselskab,26993601,500.0,17590000.0,DKK,2024.0,0,0,27,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
FUELI ApS,"Fælledvej 17, 7600 Struer",Struer,30.06.2020,Ikke oplyst,Ikke oplyst,Anpartsselskab,41503645,53.0,279000.0,DKK,2023.0,0,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
