Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Smedning og valsning af metal samt pulvermetallurgi,Maskinforarbejdning af metal,Fremstilling af håndværktøj,Fremstilling af andre færdige metalprodukter i.a.n.,Overfladebehandling af metal,Fremstilling af metalkonstruktioner og dele heraf,Fremstilling af døre og vinduer af metal,Fremstilling af andre tanke og beholdere af metal,Fremstilling af våben og ammunition,Fremstilling af låse og hængsler,"Fremstilling af bestik, skære- og klipperedskaber","Fremstilling af trådvarer, kæder og fjedre","Fremstilling af lukkeanordninger, bolte, skruer og møtrikker",Fremstilling af metaltønder og lignende beholdere,Fremstilling af letmetalemballage,Varmebehandling af metal,"Fremstilling af radiatorer, damp- og fyringskedler til centralvarmeanlæg"
BODYCOTE VARMEBEHANDLING A/S,"Industribuen 16-18, 5592 Ejby",Middelfart,22.06.1964,50.0,Mellemstor,Aktieselskab,16261513,13.0,84922000.0,DKK,2023.0,1,0,25,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELDAN RECYCLING A/S,"Værkmestervej 4, 5600 Faaborg",Faaborg-Midtfyn,01.05.1990,115.0,Mellemstor,Aktieselskab,14125388,12.0,166053000.0,DKK,2023.0,1,0,25,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARMI A/S,"Kokkedal Industripark 106, 2980 Kokkedal",Fredensborg,12.11.1975,8.0,Mikro,Aktieselskab,66042413,500.0,3952000.0,DKK,2024.0,1,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TelecomSteel A/S,"Kaltoftevej 13, 7000 Fredericia",Fredericia,20.01.2021,Ikke oplyst,Ikke oplyst,Aktieselskab,42044660,400.0,270000.0,DKK,2024.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MME Industri ApS,"Søndergade 6, 5800 Nyborg",Nyborg,10.01.2023,Ikke oplyst,Ikke oplyst,Anpartsselskab,43769553,40.0,2000.0,DKK,2024.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Litsen ApS,"Pantonevej 4, 6580 Vamdrup",Kolding,29.06.2016,2.0,Mikro,Anpartsselskab,37837377,63.0,17182000.0,DKK,2023.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TK STÅL ApS,"Tørveskæret 17, 8800 Viborg",Viborg,12.03.2008,39.0,Lille,Anpartsselskab,31326664,125.0,8911000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH Pladeteknik ApS,"Industrivej 20, 7490 Aulum",Herning,02.01.2023,1.0,Mikro,Anpartsselskab,43745786,42.0,566000.0,DKK,2024.0,1,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M.S.R. Metaltrykkeri ApS,"Landerslevvej 60, 3630 Jægerspris",Frederikssund,02.10.2019,2.0,Mikro,Anpartsselskab,40842799,40.0,1160000.0,DKK,2023.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROFILMESTER ApS,"Sandøvej 8, 8700 Horsens",Horsens,08.07.2013,Ikke oplyst,Ikke oplyst,Anpartsselskab,35400427,80.0,122000.0,DKK,2023.0,0,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pro-Staal ApS,"Alstrup Strandvej 2 B, 4840 Nørre Alslev",Guldborgsund,01.05.2020,4.0,Mikro,Anpartsselskab,41331089,40.0,3305000.0,DKK,2024.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARCO MARINE A/S,"Højvangen 2, 3480 Fredensborg",Fredensborg,17.05.1993,7.0,Mikro,Aktieselskab,17076744,450.0,8756000.0,DKK,2023.0,0,0,25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
InMetal a/s,"Mimersvej 9, 8722 Hedensted",Hedensted,10.03.2008,35.0,Lille,Aktieselskab,31286557,400.0,14176000.0,DKK,2023.0,1,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJ Stainless Solution A/S,"Langagervej 9, 4400 Kalundborg",Kalundborg,09.09.2022,64.0,Mellemstor,Aktieselskab,43514164,1.0,82414000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAS.DK ApS,"Gl Kolding Landevej 20, 7100 Vejle",Vejle,02.12.2019,12.0,Lille,Anpartsselskab,41004002,50.0,2504000.0,DKK,2023.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frederiks smede og montage A/S,"Nyrupvej 2 B, 7470 Karup J",Viborg,07.01.2005,25.0,Lille,Aktieselskab,28318286,510.0,14223000.0,DKK,2024.0,0,0,25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BØSSEMAGER KORSHOLM A/S,"Jægervej 5, 6900 Skjern",Ringkøbing-Skjern,12.05.1972,29.0,Lille,Aktieselskab,41812516,600.0,10655000.0,DKK,2024.0,0,0,25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCN Montage ApS,"Skovbyvej 19, 2740 Skovlunde",Ballerup,28.08.2022,1.0,Mikro,Anpartsselskab,43473581,40.0,292000.0,DKK,2023.0,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DENCKER A/S,"Færøvej 2, 7900 Nykøbing M",Morsø,27.06.2003,66.0,Mellemstor,Aktieselskab,27275176,500.0,35610000.0,DKK,2024.0,1,1,25,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RØN PETERSEN ApS,"Blytækkervej 6, 8800 Viborg",Viborg,11.09.2012,14.0,Lille,Anpartsselskab,34700923,80.0,5072000.0,DKK,2023.0,0,0,25,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
