Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,"Fremstilling af plader, ark, rør og slanger samt profiler af plast",Fremstilling af plastemballage,Fremstilling af andre plastprodukter,Fremstilling og vulkanisering af gummidæk og fremstilling af gummislanger,Forarbejdning og færdigbehandling af plastprodukter,Fremstilling af døre og vinduer af plast,Fremstilling af andre gummiprodukter,Fremstilling af bygningsartikler af plast
NEOPERL NORDIC A/S,"Erhvervsparken 1, 8920 Randers NV",Randers,01.01.1990,34.0,Lille,Aktieselskab,13918740,1.0,12770000.0,DKK,2023.0,1,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLUS PACK A/S,"Energivej 40, 5260 Odense S",Odense,13.12.1963,146.0,Mellemstor,Aktieselskab,37754013,46.8,108611000.0,DKK,2024.0,1,1,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MEDICOPACK A/S,"Industrivej 6, 5550 Langeskov",Kerteminde,16.02.1973,105.0,Mellemstor,Aktieselskab,46410211,20.0,74694000.0,DKK,2023.0,1,1,22,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Urbangarden.dk ApS,"Sønder Boulevard 16 4 th, 1720 København V",København,14.01.2019,2.0,Mikro,Anpartsselskab,40201270,50.0,439000.0,DKK,2023.0,0,0,22,,1.0,1.0,0.0,0.0,0.0,0.0,0.0
LYKATEC ApS,"Bjørnsholmvej 118, 9670 Løgstør",Vesthimmerland,29.11.2017,28.0,Lille,Anpartsselskab,39133849,51.0,12359000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INKA-PLAST A/S,"Skebyvej 10, 5450 Otterup",Nordfyns,24.09.1997,4.0,Mikro,Aktieselskab,20448571,500.0,1896000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
RM PLAST ApS,"Simblegårdsvej 2, 3782 Klemensker",Bornholm,20.06.2006,1.0,Mikro,Anpartsselskab,27525008,125.0,1285000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PLASTECH TECHNOLOGY ApS,"Finlandsvej 9, 5700 Svendborg",Svendborg,28.09.1996,Ikke oplyst,Ikke oplyst,Anpartsselskab,19594181,125.0,1020000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Orshade Europe ApS,"Kornblomstvej 97, 9000 Aalborg",Aalborg,17.12.2019,2.0,Mikro,Anpartsselskab,41025441,195.0,2492000.0,DKK,2023.0,0,0,22,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TAULOLITT ApS,"Kjellerupvej 3 C, 8840 Rødkærsbro",Viborg,29.06.1977,1.0,Mikro,Anpartsselskab,82011617,200.0,-114000.0,DKK,2024.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"PrintFlex, Lunderskov ApS","Bøgevænget 34, 6640 Lunderskov",Kolding,02.04.2002,Ikke oplyst,Ikke oplyst,Anpartsselskab,26535077,200.0,11000.0,DKK,2023.0,0,0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BuddyBob ApS,"Glarbjergvej 41, 8920 Randers NV",Randers,03.12.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,36457538,53.0,-3000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Skiltestedet Silkeborg ApS,"Mådevej 19, 6700 Esbjerg",Esbjerg,11.05.2023,2.0,Mikro,Anpartsselskab,44052881,40.0,435000.0,DKK,2023.0,0,0,22,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
