Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,"Fremstilling af sæbe, rengørings- og rensemidler samt poleremidler",Fremstilling af andre organiske basiskemikalier,"Fremstilling af parfume, hårshampoo, tandpasta mv.",Fremstilling af andre kemiske produkter i.a.n.,Fremstilling af plast i ubearbejdet form,Fremstilling af gødningsstoffer og nitrogenprodukter,"Fremstilling af maling, lak og lignende overfladebehandlingsmidler, trykfarver samt tætningsmaterialer",Fremstilling af industrigasser,"Fremstilling af pesticider, desinfektionsmidler og andre agrokemiske produkter",Fremstilling af kemofibre,Fremstilling af andre uorganiske basiskemikalier,Fremstilling af farvestoffer og pigmenter,Fremstilling af flydende biobrændstoffer
Vertanical Denmark ApS,"Birketvedvejen 31, 5290 Marslev",Kerteminde,01.02.2019,22.0,Lille,Anpartsselskab,40227792,8.0,34916000.0,DKK,2023.0,0,0,20,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIEMANN A/S,"Krakasvej 8, 3400 Hillerød",Hillerød,12.01.1990,71.0,Mellemstor,Aktieselskab,13844070,1.0,96200000.0,DKK,2023.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DuPont de Nemours Denmark ApS,"Engdalsvej 96 B, 8220 Brabrand",Århus,23.01.2020,3.0,Mikro,Anpartsselskab,41119136,41.0,6034000.0,DKK,2023.0,0,0,20,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balgårde Landhandel ApS,"Balgårdsvej 36, 8981 Spentrup",Randers,07.12.2021,1.0,Mikro,Anpartsselskab,42903825,40.0,226000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANSK AFFALDSMINIMERING ApS,"Industriparken 2, 8870 Langå",Favrskov,16.05.2011,10.0,Lille,Anpartsselskab,33649142,397.0,8164000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A/S ORTHANA KEMISK FABRIK,"Englandsvej 350-356, 2770 Kastrup",Tårnby,07.03.1934,40.0,Lille,Aktieselskab,15248912,1.0,25417000.0,DKK,2024.0,0,0,20,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COSBORG A/S,"Dampfærgevej 24 C 3 th, 2100 København Ø",København,01.10.1996,1.0,Mikro,Aktieselskab,19624706,500.0,397000.0,DKK,2024.0,0,0,20,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STRANDMØLLEN A/S,"Strandvejen 895, 2930 Klampenborg",Lyngby-Taarbæk,01.01.1990,133.0,Mellemstor,Aktieselskab,13913072,10.0,106225000.0,DKK,2023.0,1,0,20,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Solar Park Kassø ApS,"Kassøvej 23, 6230 Rødekro",Aabenraa,24.01.2020,27.0,Lille,Anpartsselskab,41125411,100.0,147039000.0,DKK,2023.0,0,0,20,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HANJA PLAST ApS,"Hornsyld Industrivej 3, 8783 Hornsyld",Hedensted,21.12.2005,5.0,Mikro,Anpartsselskab,29212341,125.0,2051000.0,DKK,2024.0,0,0,20,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
