Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af øvrige maskiner til specielle formål i.a.n.,Fremstilling af løfte- og håndteringsudstyr,Fremstilling af andre maskiner til generelle formål i.a.n.,"Fremstilling af motorer og turbiner, undtagen motorer til flyvemaskiner, motorkøretøjer og knallerter","Fremstilling af klimaanlæg, ikke til husholdningsbrug","Fremstilling af maskiner til føde-, drikke- og tobaksvareindustrien",Fremstilling af hydraulisk udstyr,Fremstilling af maskiner til råstofindvindingsindustrien samt bygge- og anlæg,Fremstilling af maskiner til produktion af plast og gummi,Fremstilling af metalforarbejdende maskiner og maskinværktøj til bearbejdning af metal,Fremstilling af landbrugs- og skovbrugsmaskiner,Fremstilling af motordrevet håndværktøj,Fremstilling af andet maskinværktøj,"Fremstilling af maskiner til produktion af tekstiler, beklædningsartikler og læder","Fremstilling af ovne, ildsteder og fyringsaggregater til boligopvarmning",Fremstilling af andre haner og ventiler,"Fremstilling af lejer, tandhjul, tandhjulsudvekslinger og drivelementer",Fremstilling af andre pumper og kompressorer,Fremstilling af maskiner til additiv fremstilling,Fremstilling af maskiner til produktion af papir og pap,"Fremstilling af kontormaskiner og -udstyr, undtagen computere og ydre enheder",Fremstilling af maskiner til metallurgi
RE-N TECHNOLOGY ApS,"Skodsborg Strandvej 117 B 3 th, 2942 Skodsborg",Rudersdal,12.07.2006,Ikke oplyst,Ikke oplyst,Anpartsselskab,29687889,125.0,-75000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Smart Group ApS,"Søndergade 70, 9320 Hjallerup",Brønderslev-Dronninglund,30.10.2018,7.0,Mikro,Anpartsselskab,39986922,79.0,3349000.0,DKK,2024.0,0,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GULDAGER A/S,"Hejrevang 1-3, 3450 Allerød",Allerød,01.11.1991,72.0,Mellemstor,Aktieselskab,15683481,502.0,44554000.0,DKK,2023.0,0,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEMA A/S,"Bredholm 3, 6100 Haderslev",Haderslev,01.10.1991,70.0,Mellemstor,Aktieselskab,15525991,1.0,41507000.0,DKK,2024.0,1,0,28,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nissens Cooling Solutions A/S,"Vejlevej 19, 8700 Horsens",Horsens,27.06.1972,88.0,Mellemstor,Aktieselskab,40212116,1.0,9299000.0,DKK,2023.0,1,0,28,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACH TECHNICAL ApS,"Ø Doensevej 7, 9500 Hobro",Mariagerfjord,01.07.2001,Ikke oplyst,Ikke oplyst,Anpartsselskab,26120551,125.0,-17000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOGI Structura H2O ApS,"Vagtelvej 3, 3060 Espergærde",Helsingør,03.12.2019,Ikke oplyst,Ikke oplyst,Anpartsselskab,40980091,40.0,-47000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOLDING INSTRUMENT SERVICE ApS,"Eltangvej 41, 6000 Kolding",Kolding,29.06.2005,4.0,Mikro,Anpartsselskab,28860390,125.0,3126000.0,DKK,2023.0,0,0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dansk Anlægsteknik ApS,"Ådalsvænget 4, 5882 Vejstrup",Svendborg,27.01.2021,6.0,Mikro,Anpartsselskab,42062243,40.0,373000.0,DKK,2023.0,0,0,28,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drinxsystem ApS,"Maigårdsvej 12 A, 9900 Frederikshavn",Frederikshavn,08.02.2021,Ikke oplyst,Ikke oplyst,Anpartsselskab,42118206,600.0,292000.0,DKK,2024.0,0,0,28,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
