Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Fremstilling af karosserier til motorkøretøjer; fremstilling af påhængsvogne og sættevogne,Fremstilling af andre dele og tilbehør til motorkøretøjer,Fremstilling af motorkøretøjer,Fremstilling af elektrisk og elektronisk udstyr til motorkøretøjer
SV.SØGER & SØN ApS,"Tinghøjvej 6, 3650 Ølstykke",Egedal,30.11.1977,8.0,Mikro,Anpartsselskab,83151110,200.0,5471000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
ALUNITED Denmark A/S,"Kærgårdsvej 5, 6270 Tønder",Tønder,01.11.2009,119.0,Mellemstor,Aktieselskab,32571190,501.0,73275000.0,DKK,2023.0,0,0,29,,1.0,0.0,0.0
BILSTRUP KAROSSERI & RAVNSTRUP VOGNSMEDIE A/S,"Ågade 73, 7850 Stoholm Jyll",Viborg,10.06.2011,23.0,Lille,Aktieselskab,33757573,500.0,10341000.0,DKK,2023.0,0,0,29,,0.0,1.0,0.0
ØSTER SNEDE LADFABRIK A/S,"Rylevej 7, 8766 Nørre Snede",Ikast-Brande,01.03.1986,Ikke oplyst,Ikke oplyst,Aktieselskab,10173981,1.0,-10000.0,DKK,2023.0,0,0,29,1.0,0.0,0.0,0.0
HeroCamper ApS,"Lammefjordsvej 5, 6715 Esbjerg N",Esbjerg,22.01.2019,24.0,Lille,Anpartsselskab,40193189,745.0,6883000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
SKELHØJE VOGNFABRIK A/S,"Industrivej 2, 6900 Skjern",Ringkøbing-Skjern,25.01.1993,31.0,Lille,Aktieselskab,16857432,500.0,4669000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
PHOENIX DANMARK A/S,"Dalager 15, 2605 Brøndby",Brøndby,24.05.2002,20.0,Lille,Aktieselskab,10082269,500.0,11033000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
Sekura Cabins A/S,"Metervej 5, 8940 Randers SV",Randers,09.06.1987,192.0,Mellemstor,Aktieselskab,10957281,8.006,63267000.0,DKK,2023.0,1,0,29,1.0,1.0,0.0,0.0
HEDENSTED LADFABRIK A/S,"Lundagervej 104, 8722 Hedensted",Hedensted,31.07.2002,9.0,Mikro,Aktieselskab,26719860,750.0,7098000.0,DKK,2024.0,0,0,29,1.0,0.0,0.0,0.0
ABC ejendomsservice ApS,"Gl Assensvej 38, 5580 Nørre Aaby",Middelfart,16.12.2016,Ikke oplyst,Ikke oplyst,Anpartsselskab,38264087,50.0,-28000.0,DKK,2023.0,0,0,29,,1.0,0.0,0.0
