Juridisk navn,Adresse,Kommune,Startdato,Antal ansatte,Størrelse,Selskabsform,CVR-nr,Selskabskapital,Bruttofortjeneste,Valuta,År for beregning,Kunde,Coating kunde,NACE-2,Reparation og vedligeholdelse af færdige metalprodukter,Reparation og vedligeholdelse af maskiner,Reparation og vedligeholdelse af elektrisk udstyr,Installation af industrimaskiner og -udstyr,Reparation og vedligeholdelse af civile skibe og både,Reparation og vedligeholdelse af elektronisk og optisk udstyr,Reparation og vedligeholdelse af civile luft- og rumfartøjer,Reparation og vedligeholdelse af andet udstyr,Reparation og vedligeholdelse af andre civile transportmidler,"Reparation og vedligeholdelse af militære kampkøretøjer, skibe, både og luft- og rumfartøjer"
FYNS KØLESERVICE ApS,"Birkeshøj 5, 5762 Vester Skerninge",Svendborg,14.09.2009,1.0,Mikro,Anpartsselskab,32449123,125.0,777000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JKL Maskiner ApS,"Enslevvej 33, 8860 Ulstrup",Favrskov,17.06.2020,1.0,Mikro,Anpartsselskab,41452005,40.0,628000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blade Partners Europe A/S,"Kløvervænget 26, 6100 Haderslev",Haderslev,01.12.2017,9.0,Mikro,Aktieselskab,39165082,1.0,25176000.0,DKK,2023.0,0,0,33,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SKATEK A/S,"Oddervej 5, 7800 Skive",Skive,12.09.2008,22.0,Lille,Aktieselskab,31755409,501.0,14952000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Hvalsø Maskinforretning ApS,"Vestergade 1, 4330 Hvalsø",Lejre,12.08.2022,4.0,Mikro,Anpartsselskab,43448609,40.0,1233000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davidsen Transport ApS,"Nefeskovvej 9, 6230 Rødekro",Aabenraa,19.04.2016,2.0,Mikro,Anpartsselskab,37623636,50.0,241000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G.S. SKIBS- OG INDUSTRISERVICE ApS,"Follerupvej 67, 7000 Fredericia",Fredericia,01.01.1995,10.0,Lille,Anpartsselskab,18300338,125.0,8151000.0,DKK,2024.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ØSTEN SVEJSE- OG RØRSERVICE ApS,"Charlottevej 14, 4270 Høng",Kalundborg,01.04.2001,Ikke oplyst,Ikke oplyst,Anpartsselskab,25977076,125.0,5000.0,DKK,2024.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.J. JENSEN INVEST HOLDING ApS,"Sibberupvej 9 A, 4684 Holmegaard",Næstved,13.12.2000,Ikke oplyst,Ikke oplyst,Anpartsselskab,25797264,125.0,0.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DK Maritime ApS,"Tværkaj 2, 6700 Esbjerg",Esbjerg,18.06.2018,9.0,Mikro,Anpartsselskab,39676095,300.0,46183000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTALTRUCK A/S,"Lucernetoften 5, 5550 Langeskov",Kerteminde,01.07.2001,28.0,Lille,Aktieselskab,26126622,608.0,16245000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRJ RØRSVEJS ApS,"Nr Bjertvej 8, 7830 Vinderup",Holstebro,07.09.2022,1.0,Mikro,Anpartsselskab,43498460,50.0,633000.0,DKK,2023.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invent4you Aps,"Vodskovvej 28, 9310 Vodskov",Aalborg,28.12.2005,Ikke oplyst,Ikke oplyst,Anpartsselskab,29223270,126.0,-575000.0,DKK,2023.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TANK TEKNIK APS,"Klasevænget 8, 5700 Svendborg",Svendborg,25.04.2007,Ikke oplyst,Ikke oplyst,Anpartsselskab,30567900,125.0,0.0,DKK,2023.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"HANS JØRN HVID, SJELLERUPSKOV ApS","Holmvej 32, 6430 Nordborg",Sønderborg,16.06.2006,3.0,Mikro,Anpartsselskab,27523811,125.0,1531000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M.ENGINES APS,"Gyvelvej 2 A, 8464 Galten",Skanderborg,29.04.2018,1.0,Mikro,Anpartsselskab,39535025,50.0,37000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INNOMETRIC ApS,"Bavnehøjvej 5, 9520 Skørping",Rebild,07.04.2010,Ikke oplyst,Ikke oplyst,Anpartsselskab,32841309,125.0,-173000.0,DKK,2023.0,0,0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stopdieselpest ApS,"Thurøvænget 13, 7000 Fredericia",Fredericia,31.01.2023,1.0,Mikro,Anpartsselskab,43816101,40.0,285000.0,DKK,2023.0,0,0,33,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
O.C Ship Repair ApS,"Morsøgade 9 B, 6700 Esbjerg",Esbjerg,05.11.2020,10.0,Lille,Anpartsselskab,41860650,40.0,5240000.0,DKK,2023.0,0,0,33,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AJ RUSTFRI ApS,"Tværvej 1, 9230 Svenstrup J",Aalborg,09.10.2012,3.0,Mikro,Anpartsselskab,34717885,80.0,2188000.0,DKK,2024.0,0,0,33,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Selskabet af 17.10.2024 Aps,"Vembvej 5, 7500 Holstebro",Holstebro,03.06.2022,Ikke oplyst,Ikke oplyst,Anpartsselskab,43304585,40.0,0.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L. SØNDERMARK ApS,"Lindevej 37, 5474 Veflinge",Nordfyns,27.04.2010,Ikke oplyst,Ikke oplyst,Anpartsselskab,32884164,80.0,18000.0,DKK,2024.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GREENVENT ApS,"Tempovej 37 B, 2750 Ballerup",Ballerup,01.04.2014,Ikke oplyst,Ikke oplyst,Anpartsselskab,35822259,50.0,128000.0,DKK,2023.0,0,0,33,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
